DATE,HomePriceIndex,MortgageRate,UnemploymentRate,TreasuryYield,GDP,MedianIncome,CPI,HousingStarts,Population,MortgageRate_Lag1
2003-01-10,128.461,5.95,5.8,4.05,11174.129,68350.0,182.6,1853.0,289518.0,5.85
2003-01-17,128.461,5.97,5.8,4.05,11174.129,68350.0,182.6,1853.0,289518.0,5.95
2003-01-24,128.461,5.91,5.8,4.05,11174.129,68350.0,182.6,1853.0,289518.0,5.97
2003-01-31,128.461,5.9,5.8,4.05,11174.129,68350.0,182.6,1853.0,289518.0,5.91
2003-02-01,129.356,5.9,5.9,3.9,11174.129,68350.0,183.6,1629.0,289714.0,5.9
2003-02-07,129.356,5.88,5.9,3.9,11174.129,68350.0,183.6,1629.0,289714.0,5.9
2003-02-14,129.356,5.86,5.9,3.9,11174.129,68350.0,183.6,1629.0,289714.0,5.88
2003-02-21,129.356,5.84,5.9,3.9,11174.129,68350.0,183.6,1629.0,289714.0,5.86
2003-02-28,129.356,5.79,5.9,3.9,11174.129,68350.0,183.6,1629.0,289714.0,5.84
2003-03-01,130.148,5.79,5.9,3.81,11174.129,68350.0,183.9,1726.0,289911.0,5.79
2003-03-07,130.148,5.67,5.9,3.81,11174.129,68350.0,183.9,1726.0,289911.0,5.79
2003-03-14,130.148,5.61,5.9,3.81,11174.129,68350.0,183.9,1726.0,289911.0,5.67
2003-03-21,130.148,5.79,5.9,3.81,11174.129,68350.0,183.9,1726.0,289911.0,5.61
2003-03-28,130.148,5.91,5.9,3.81,11174.129,68350.0,183.9,1726.0,289911.0,5.79
2003-04-01,130.884,5.91,6.0,3.96,11312.766,68350.0,183.2,1643.0,290125.0,5.91
2003-04-04,130.884,5.79,6.0,3.96,11312.766,68350.0,183.2,1643.0,290125.0,5.91
2003-04-11,130.884,5.85,6.0,3.96,11312.766,68350.0,183.2,1643.0,290125.0,5.79
2003-04-18,130.884,5.82,6.0,3.96,11312.766,68350.0,183.2,1643.0,290125.0,5.85
2003-04-25,130.884,5.79,6.0,3.96,11312.766,68350.0,183.2,1643.0,290125.0,5.82
2003-05-01,131.735,5.79,6.1,3.57,11312.766,68350.0,182.9,1751.0,290346.0,5.79
2003-05-02,131.735,5.7,6.1,3.57,11312.766,68350.0,182.9,1751.0,290346.0,5.79
2003-05-09,131.735,5.62,6.1,3.57,11312.766,68350.0,182.9,1751.0,290346.0,5.7
2003-05-16,131.735,5.45,6.1,3.57,11312.766,68350.0,182.9,1751.0,290346.0,5.62
2003-05-23,131.735,5.34,6.1,3.57,11312.766,68350.0,182.9,1751.0,290346.0,5.45
2003-05-30,131.735,5.31,6.1,3.57,11312.766,68350.0,182.9,1751.0,290346.0,5.34
2003-06-01,132.649,5.31,6.3,3.33,11312.766,68350.0,183.1,1867.0,290584.0,5.31
2003-06-06,132.649,5.26,6.3,3.33,11312.766,68350.0,183.1,1867.0,290584.0,5.31
2003-06-13,132.649,5.21,6.3,3.33,11312.766,68350.0,183.1,1867.0,290584.0,5.26
2003-06-20,132.649,5.21,6.3,3.33,11312.766,68350.0,183.1,1867.0,290584.0,5.21
2003-06-27,132.649,5.24,6.3,3.33,11312.766,68350.0,183.1,1867.0,290584.0,5.21
2003-07-01,133.77700000000002,5.24,6.2,3.98,11566.669,68350.0,183.7,1897.0,290820.0,5.24
2003-07-04,133.77700000000002,5.4,6.2,3.98,11566.669,68350.0,183.7,1897.0,290820.0,5.24
2003-07-11,133.77700000000002,5.52,6.2,3.98,11566.669,68350.0,183.7,1897.0,290820.0,5.4
2003-07-18,133.77700000000002,5.67,6.2,3.98,11566.669,68350.0,183.7,1897.0,290820.0,5.52
2003-07-25,133.77700000000002,5.94,6.2,3.98,11566.669,68350.0,183.7,1897.0,290820.0,5.67
2003-08-01,134.968,6.14,6.1,4.45,11566.669,68350.0,184.5,1833.0,291072.0,5.94
2003-08-08,134.968,6.34,6.1,4.45,11566.669,68350.0,184.5,1833.0,291072.0,6.14
2003-08-15,134.968,6.24,6.1,4.45,11566.669,68350.0,184.5,1833.0,291072.0,6.34
2003-08-22,134.968,6.28,6.1,4.45,11566.669,68350.0,184.5,1833.0,291072.0,6.24
2003-08-29,134.968,6.32,6.1,4.45,11566.669,68350.0,184.5,1833.0,291072.0,6.28
2003-09-01,136.29399999999998,6.32,6.1,4.27,11566.669,68350.0,185.1,1939.0,291321.0,6.32
2003-09-05,136.29399999999998,6.44,6.1,4.27,11566.669,68350.0,185.1,1939.0,291321.0,6.32
2003-09-12,136.29399999999998,6.16,6.1,4.27,11566.669,68350.0,185.1,1939.0,291321.0,6.44
2003-09-19,136.29399999999998,6.01,6.1,4.27,11566.669,68350.0,185.1,1939.0,291321.0,6.16
2003-09-26,136.29399999999998,5.98,6.1,4.27,11566.669,68350.0,185.1,1939.0,291321.0,6.01
2003-10-01,137.532,5.98,6.0,4.29,11772.234,68350.0,184.9,1967.0,291574.0,5.98
2003-10-03,137.532,5.77,6.0,4.29,11772.234,68350.0,184.9,1967.0,291574.0,5.98
2003-10-10,137.532,5.95,6.0,4.29,11772.234,68350.0,184.9,1967.0,291574.0,5.77
2003-10-17,137.532,6.05,6.0,4.29,11772.234,68350.0,184.9,1967.0,291574.0,5.95
2003-10-24,137.532,6.05,6.0,4.29,11772.234,68350.0,184.9,1967.0,291574.0,6.05
2003-10-31,137.532,5.94,6.0,4.29,11772.234,68350.0,184.9,1967.0,291574.0,6.05
2003-11-01,138.79399999999998,5.94,5.8,4.3,11772.234,68350.0,185.0,2083.0,291807.0,5.94
2003-11-07,138.79399999999998,5.98,5.8,4.3,11772.234,68350.0,185.0,2083.0,291807.0,5.94
2003-11-14,138.79399999999998,6.03,5.8,4.3,11772.234,68350.0,185.0,2083.0,291807.0,5.98
2003-11-21,138.79399999999998,5.83,5.8,4.3,11772.234,68350.0,185.0,2083.0,291807.0,6.03
2003-11-28,138.79399999999998,5.89,5.8,4.3,11772.234,68350.0,185.0,2083.0,291807.0,5.83
2003-12-01,140.18,5.89,5.7,4.27,11772.234,68350.0,185.5,2057.0,292008.0,5.89
2003-12-05,140.18,6.02,5.7,4.27,11772.234,68350.0,185.5,2057.0,292008.0,5.89
2003-12-12,140.18,5.88,5.7,4.27,11772.234,68350.0,185.5,2057.0,292008.0,6.02
2003-12-19,140.18,5.82,5.7,4.27,11772.234,68350.0,185.5,2057.0,292008.0,5.88
2003-12-26,140.18,5.81,5.7,4.27,11772.234,68350.0,185.5,2057.0,292008.0,5.82
2003-12-31,140.18,5.85,5.7,4.27,11772.234,68350.0,185.5,2057.0,292008.0,5.81
2004-01-01,141.64600000000002,5.85,5.7,4.15,11923.447,68250.0,186.3,1911.0,292192.0,5.85
2004-01-08,141.64600000000002,5.87,5.7,4.15,11923.447,68250.0,186.3,1911.0,292192.0,5.85
2004-01-15,141.64600000000002,5.66,5.7,4.15,11923.447,68250.0,186.3,1911.0,292192.0,5.87
2004-01-22,141.64600000000002,5.64,5.7,4.15,11923.447,68250.0,186.3,1911.0,292192.0,5.66
2004-01-29,141.64600000000002,5.68,5.7,4.15,11923.447,68250.0,186.3,1911.0,292192.0,5.64
2004-02-01,143.191,5.68,5.6,4.08,11923.447,68250.0,186.7,1846.0,292368.0,5.68
2004-02-05,143.191,5.72,5.6,4.08,11923.447,68250.0,186.7,1846.0,292368.0,5.68
2004-02-12,143.191,5.66,5.6,4.08,11923.447,68250.0,186.7,1846.0,292368.0,5.72
2004-02-19,143.191,5.58,5.6,4.08,11923.447,68250.0,186.7,1846.0,292368.0,5.66
2004-02-26,143.191,5.58,5.6,4.08,11923.447,68250.0,186.7,1846.0,292368.0,5.58
2004-03-01,145.058,5.58,5.8,3.83,11923.447,68250.0,187.1,1998.0,292561.0,5.58
2004-03-04,145.058,5.59,5.8,3.83,11923.447,68250.0,187.1,1998.0,292561.0,5.58
2004-03-11,145.058,5.41,5.8,3.83,11923.447,68250.0,187.1,1998.0,292561.0,5.59
